sentença,julgamento,julgamento_2,dano_moral_individual,faixa_dano_moral_individual,data_julgamento,juiz,tipo_juiz,direito_de_arrependimento,descumprimento_de_oferta,extravio_definitivo,extravio_temporário,intervalo_extravio_temporário,faixa_intervalo_extravio_temporário,violação_furto_avaria,cancelamento/alteração_destino,atraso,intervalo_atraso,faixa_intervalo_atraso,culpa_exclusiva_consumidor,condições_climáticas/fechamento_aeroporto,noshow,overbooking,assistência_cia_aérea,hipervulnerável
483,total_procedente,-,"R$ 5,000.00",3,29/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,S,1,1,N,N,N,-,0,N,N,N,N,,
484,total_procedente,-,"R$ 8,000.00",4,17/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,N,S,15:00:00,4,N,N,N,N,,
485,total_procedente,-,"R$ 6,000.00",3,23/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,N,S,08:00:00,3,N,N,N,N,,
486,improcedente,-,R$ 0.00,0,24/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
487,total_procedente,-,"R$ 3,000.00",2,23/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,N,S,04:00:00,2,N,N,N,N,,
488,total_procedente,-,"R$ 15,000.00",6,29/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
489,parcial_procedente,-,"R$ 15,000.00",6,29/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
490,parcial_procedente,-,R$ 0.00,0,29/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
491,total_procedente,-,"R$ 10,000.00",5,22/05/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,S,N,N,-,0,N,N,N,N,,
492,parcial_procedente,-,R$ 0.00,0,22/05/2015,Eduardo Peruffo e Silva,Leigo,N,N,N,N,-,0,N,N,N,-,0,N,N,N,S,,
493,total_procedente,-,"R$ 5,000.00",3,26/05/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,,
494,parcial_procedente,-,R$ 0.00,0,26/05/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
495,total_procedente,-,"R$ 3,000.00",2,27/05/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,08:00:00,3,N,N,N,N,,
496,total_procedente,-,"R$ 8,000.00",4,26/05/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,17:00:00,5,N,N,N,N,,
497,total_procedente,-,"R$ 4,500.00",3,27/05/2015,Vânia Petermann,Titular,N,N,N,S,5,3,N,N,N,-,0,N,N,N,N,,
498,total_procedente,-,"R$ 4,500.00",3,27/05/2015,Vânia Petermann,Titular,N,N,N,S,5,3,N,N,N,-,0,N,N,N,N,,
499,parcial_procedente,-,R$ 0.00,0,28/05/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,S,,
500,parcial_procedente,-,"R$ 14,000.00",6,29/05/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,48:00:00,7,N,N,N,N,,
501,total_procedente,-,"R$ 4,000.00",2,03/08/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,06:00:00,2,N,N,N,N,,
502,total_procedente,-,"R$ 2,000.00",1,03/08/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
503,extinto,-,R$ 0.00,0,03/08/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
504,total_procedente,-,"R$ 9,000.00",5,03/08/2015,Vânia Petermann,Titular,N,N,N,S,1,1,N,N,S,13:00:00,4,N,N,N,N,,
505,parcial_procedente,-,"R$ 5,000.00",3,28/07/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
506,total_procedente,-,"R$ 8,000.00",4,03/08/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
507,total_procedente,-,R$ 500.00,1,03/08/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
508,improcedente,-,R$ 0.00,0,03/08/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
509,parcial_procedente,-,R$ 0.00,0,18/08/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
510,parcial_procedente,-,"R$ 8,000.00",4,22/07/2015,Erica Lourenço de Lima Ferreira,Titular,N,N,N,N,-,0,N,N,S,04:00:00,2,N,N,N,S,,
511,total_procedente,-,"R$ 8,000.00",4,07/07/2015,Erica Lourenço de Lima Ferreira,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
512,parcial_procedente,-,"R$ 3,000.00",2,10/07/2015,Erica Lourenço de Lima Ferreira,Titular,N,S,N,N,-,0,N,N,N,-,0,N,N,N,N,,
513,improcedente,-,R$ 0.00,0,20/07/2015,Erica Lourenço de Lima Ferreira,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
514,total_procedente,-,"R$ 2,000.00",1,07/04/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,S,N,N,,
515,parcial_procedente,-,"R$ 4,000.00",2,19/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
516,parcial_procedente,-,"R$ 4,000.00",2,23/02/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
517,parcial_procedente,-,R$ 0.00,0,23/02/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
518,improcedente,-,R$ 0.00,0,23/02/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
519,parcial_procedente,-,R$ 0.00,0,23/02/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
520,parcial_procedente,-,R$ 0.00,0,04/03/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
521,total_procedente,-,"R$ 3,000.00",2,09/03/2015,Vânia Petermann,Titular,S,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
522,parcial_procedente,-,"R$ 7,000.00",4,12/03/2015,Vânia Petermann,Titular,N,N,N,S,9,4,N,N,N,-,0,N,N,N,N,,
523,total_procedente,-,"R$ 2,000.00",1,12/03/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
524,total_procedente,-,"R$ 7,000.00",4,24/03/2015,Vânia Petermann,Titular,N,N,N,S,10,4,N,N,N,-,0,N,N,N,N,,
525,total_procedente,-,"R$ 6,000.00",3,06/04/2015,Vânia Petermann,Titular,N,N,N,S,12,4,N,N,N,-,0,N,N,N,N,,
526,total_procedente,-,"R$ 5,000.00",3,10/04/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,05:00:00,2,N,N,N,N,,
527,parcial_procedente,-,"R$ 5,000.00",3,13/04/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,,
528,total_procedente,-,R$ 0.00,0,15/04/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
529,improcedente,-,R$ 0.00,0,15/03/2015,Josiane Vincoski Gavião da Silva,Leigo,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
530,total_procedente,-,"R$ 2,000.00",1,17/04/2015,Vânia Petermann,Titular,N,S,N,N,-,0,N,N,N,-,0,N,N,N,N,,
531,total_procedente,-,"R$ 2,000.00",1,17/04/2015,Vânia Petermann,Titular,N,N,N,S,2,2,N,N,N,-,0,N,N,N,N,,
532,parcial_procedente,-,"R$ 5,000.00",3,22/04/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,06:10:00,2,N,N,N,N,,
533,parcial_procedente,-,"R$ 5,000.00",3,22/04/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
534,parcial_procedente,-,"R$ 5,000.00",3,24/04/2015,Vânia Petermann,Titular,N,N,N,S,1,1,N,N,N,-,0,N,N,N,N,,
535,total_procedente,-,R$ 0.00,0,24/04/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
536,parcial_procedente,-,R$ 0.00,0,27/04/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
537,total_procedente,-,"R$ 6,000.00",3,29/04/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,23:00:00,5,N,N,N,N,,
538,parcial_procedente,-,"R$ 15,000.00",6,07/05/2015,Vânia Petermann,Titular,N,N,S,N,-,0,N,N,N,-,0,N,N,N,N,,
539,total_procedente,-,"R$ 4,000.00",2,20/05/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,,
540,total_procedente,-,"R$ 1,000.00",1,20/01/2015,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,S,,
541,total_procedente,-,"R$ 10,000.00",5,07/01/2015,Davidson Jahn Mello,Titular,N,N,N,S,-,0,N,N,N,-,0,N,N,N,N,,
542,parcial_procedente,-,"R$ 4,000.00",2,13/01/2015,Davidson Jahn Mello,Titular,N,N,N,S,3,2,N,N,N,-,0,N,N,N,N,,
543,total_procedente,-,"R$ 1,000.00",1,21/01/2015,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
544,parcial_procedente,-,"R$ 4,000.00",2,21/01/2015,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
545,total_procedente,-,"R$ 3,000.00",2,26/01/2015,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,N,S,06:00:00,2,N,N,N,N,,
546,total_procedente,-,"R$ 10,000.00",5,28/01/2015,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,N,S,13:00:00,4,N,N,N,N,,
547,total_procedente,-,"R$ 5,000.00",3,29/01/2015,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
548,total_procedente,-,"R$ 7,000.00",4,04/02/2015,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
549,total_procedente,-,"R$ 7,000.00",4,04/02/2015,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
550,total_procedente,-,"R$ 10,000.00",5,13/12/2014,Vânia Petermann,Titular,N,N,N,S,11,4,N,N,N,-,0,N,N,N,N,,
551,total_procedente,-,"R$ 5,000.00",3,13/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,S,,
552,total_procedente,-,"R$ 5,000.00",3,13/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
553,total_procedente,-,"R$ 5,000.00",3,13/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
554,total_procedente,-,"R$ 3,000.00",2,07/11/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,03:36:00,1,N,N,N,N,,
555,total_procedente,-,"R$ 5,000.00",3,13/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
556,total_procedente,-,"R$ 5,000.00",3,14/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,,
557,total_procedente,-,"R$ 5,000.00",3,14/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,S,N,S,03:40:00,1,N,N,N,N,,
558,total_procedente,-,"R$ 5,000.00",3,14/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,06:00:00,2,N,N,N,N,,
559,improcedente,-,R$ 0.00,0,14/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,S,N,N,,
560,total_procedente,-,"R$ 8,000.00",4,14/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,,
561,total_procedente,-,"R$ 5,000.00",3,14/12/2014,Vânia Petermann,Titular,N,N,N,S,4,3,S,N,N,-,0,N,N,N,N,,
562,total_procedente,-,"R$ 5,000.00",3,14/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,,
563,improcedente,-,R$ 0.00,0,14/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,02:00:00,1,N,N,N,N,,
564,total_procedente,-,"R$ 8,000.00",4,14/12/2014,Vânia Petermann,Titular,N,N,N,S,6,3,N,N,N,-,0,N,N,N,N,,
565,total_procedente,-,"R$ 12,000.00",6,14/12/2014,Vânia Petermann,Titular,N,N,N,S,5,3,N,N,N,-,0,N,N,N,N,,
566,total_procedente,-,"R$ 10,000.00",5,14/12/2014,Vânia Petermann,Titular,N,N,S,N,-,0,N,N,N,-,0,N,N,N,N,,
567,total_procedente,-,"R$ 2,000.00",1,24/11/2014,Monique de Oliveira Woytuski,Leigo,N,N,N,N,-,0,N,N,S,04:00:00,2,N,N,N,N,,
568,total_procedente,-,"R$ 5,000.00",3,03/12/2014,Vânia Petermann,Titular,N,N,N,S,7,3,N,N,N,-,0,N,N,N,N,,
569,total_procedente,-,"R$ 5,000.00",3,03/12/2014,Vânia Petermann,Titular,N,N,N,S,3,2,N,N,N,-,0,N,N,N,N,,
570,parcial_procedente,-,"R$ 5,000.00",3,03/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,S,N,N,-,0,N,N,N,N,,
571,total_procedente,-,"R$ 4,000.00",2,04/12/2014,Vânia Petermann,Titular,N,N,N,S,1,1,N,N,N,-,0,N,N,N,N,,
572,total_procedente,-,"R$ 4,000.00",2,04/12/2014,Vânia Petermann,Titular,N,N,N,S,2,2,N,N,N,-,0,N,N,N,N,,
573,total_procedente,-,R$ 0.00,0,05/12/2014,Eduardo Peruffo e Silva,Leigo,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
574,total_procedente,-,"R$ 7,000.00",4,05/12/2014,Vânia Petermann,Titular,N,N,N,S,2,2,N,N,N,-,0,N,N,N,N,,
575,total_procedente,-,"R$ 4,000.00",2,05/12/2014,Vânia Petermann,Titular,N,N,N,S,3,2,N,N,N,-,0,N,N,N,N,,
576,total_procedente,-,"R$ 4,000.00",2,09/12/2014,Vânia Petermann,Titular,N,N,S,N,-,0,S,N,N,-,0,N,N,N,N,,
577,total_procedente,-,"R$ 2,500.00",2,10/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,04:00:00,2,N,N,N,N,,
578,total_procedente,-,"R$ 5,000.00",3,12/12/2014,Vânia Petermann,Titular,N,N,N,S,3,2,N,N,N,-,0,N,N,N,N,,
579,total_procedente,-,"R$ 4,000.00",2,15/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,48:00:00,7,N,N,N,N,,
580,parcial_procedente,-,"R$ 7,240.00",4,13/12/2014,Helio Marcos Filho,Leigo,N,N,N,S,120,4,N,N,N,-,0,N,N,N,N,,
581,improcedente,-,R$ 0.00,0,16/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,S,N,N,-,0,S,N,N,N,,
582,total_procedente,-,R$ 0.00,0,16/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
583,total_procedente,-,"R$ 5,000.00",3,16/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
584,parcial_procedente,-,"R$ 5,000.00",3,17/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,S,N,N,-,0,N,N,N,N,,
585,parcial_procedente,-,R$ 0.00,0,18/12/2014,Eduardo Peruffo e Silva,Leigo,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
586,parcial_procedente,-,"R$ 5,000.00",3,19/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
587,total_procedente,-,R$ 0.00,0,19/12/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
588,total_procedente,-,"R$ 7,000.00",4,04/02/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
589,parcial_procedente,-,"R$ 4,000.00",2,10/02/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,,
591,total_procedente,-,"R$ 10,000.00",5,29/09/2014,Vânia Petermann,Titular,N,N,N,S,1.5,2,N,N,N,-,0,N,N,N,N,,
592,total_procedente,-,"R$ 8,000.00",4,22/08/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,06:00:00,2,N,N,N,N,,
593,total_procedente,-,"R$ 8,000.00",4,22/08/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
594,total_procedente,-,"R$ 8,000.00",4,11/08/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
595,total_procedente,-,"R$ 4,000.00",2,23/09/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
596,total_procedente,-,"R$ 4,000.00",2,15/10/2014,Vânia Petermann,Titular,N,N,N,S,4,3,N,N,N,-,0,N,N,N,N,,
597,total_procedente,-,"R$ 8,000.00",4,17/10/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
598,total_procedente,-,"R$ 8,000.00",4,17/10/2014,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
599,parcial_procedente,-,"R$ 10,000.00",5,29/09/2014,Vânia Petermann,Titular,N,N,N,S,5,3,N,N,N,-,0,N,N,N,N,,
600,total_procedente,-,"R$ 8,000.00",4,21/05/2014,Margani de Mello,Titular,N,N,N,S,7,3,N,N,N,-,0,N,N,N,N,,
601,parcial_procedente,-,"R$ 3,000.00",2,22/05/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
602,parcial_procedente,-,"R$ 6,000.00",3,23/05/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,S,,
603,total_procedente,-,"R$ 5,000.00",3,27/05/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
604,total_procedente,improcedente,"R$ 5,000.00",3,05/06/2014,Margani de Mello,Titular,N,N,N,S,2,2,N,N,N,-,0,N,N,N,N,,
604,improcedente,total_procedente,R$ 0.00,0,05/06/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
605,total_procedente,-,"R$ 3,000.00",2,03/06/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,07:00:00,2,N,N,N,N,,
606,total_procedente,improcedente,"R$ 10,000.00",5,04/06/2014,Margani de Mello,Titular,N,N,N,S,30,4,S,N,N,-,0,N,N,N,N,,
607,total_procedente,-,"R$ 4,000.00",2,04/06/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,05:30:00,2,N,N,N,N,,
608,parcial_procedente,-,"R$ 10,000.00",5,05/06/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,S,,
609,total_procedente,-,"R$ 5,000.00",3,05/06/2014,Margani de Mello,Titular,N,N,N,S,2,2,N,N,N,-,0,N,N,N,N,,
610,parcial_procedente,-,"R$ 12,000.00",6,05/06/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
611,total_procedente,-,"R$ 8,000.00",4,06/06/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
612,total_procedente,-,"R$ 4,000.00",2,09/06/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,07:00:00,2,N,N,N,N,,
613,total_procedente,-,"R$ 8,000.00",4,09/06/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,11:00:00,3,N,N,N,N,,
614,total_procedente,-,"R$ 4,000.00",2,10/06/2014,Margani de Mello,Titular,N,N,N,S,1,1,N,N,N,-,0,N,N,N,N,,
615,total_procedente,-,"R$ 10,000.00",5,07/03/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
616,total_procedente,-,"R$ 6,000.00",3,14/03/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,06:00:00,2,N,N,N,N,,
617,total_procedente,-,"R$ 6,000.00",3,17/03/2014,Margani de Mello,Titular,N,N,N,S,2,2,N,N,N,-,0,N,N,N,N,,
618,total_procedente,-,"R$ 10,000.00",5,21/03/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
618,total_procedente,-,"R$ 2,500.00",2,21/03/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
619,parcial_procedente,-,"R$ 10,000.00",5,21/03/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
620,total_procedente,-,"R$ 10,000.00",5,21/03/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
621,parcial_procedente,-,R$ 0.00,0,28/03/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
622,parcial_procedente,-,"R$ 3,000.00",2,28/03/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
623,improcedente,-,R$ 0.00,0,01/04/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
624,total_procedente,improcedente,"R$ 4,000.00",2,03/04/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,01:35:00,1,N,N,N,N,,
625,total_procedente,-,"R$ 5,000.00",3,08/04/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
626,total_procedente,-,"R$ 2,000.00",1,14/04/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,04:37:00,2,N,N,N,N,,
627,parcial_procedente,-,"R$ 8,000.00",4,15/04/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
628,parcial_procedente,-,"R$ 5,000.00",3,15/04/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
629,total_procedente,-,"R$ 10,000.00",5,15/04/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,30:00:00,7,N,N,N,N,,
630,parcial_procedente,-,"R$ 2,000.00",1,30/04/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
631,total_procedente,-,"R$ 5,000.00",3,30/04/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
632,total_procedente,-,"R$ 5,000.00",3,30/04/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
633,total_procedente,-,"R$ 8,000.00",4,09/05/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,13:00:00,4,N,N,N,N,,
634,total_procedente,-,"R$ 5,000.00",3,15/05/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
635,parcial_procedente,-,R$ 0.00,0,16/05/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
636,total_procedente,-,"R$ 5,000.00",3,16/05/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,05:30:00,2,N,N,N,N,,
637,improcedente,-,R$ 0.00,0,16/05/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
638,improcedente,-,R$ 0.00,0,16/05/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
639,total_procedente,-,"R$ 4,000.00",2,16/05/2014,Margani de Mello,Titular,N,N,N,S,2,2,N,N,N,-,0,N,N,N,N,,
640,total_procedente,-,"R$ 10,000.00",5,10/02/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
641,parcial_procedente,-,"R$ 15,000.00",6,10/02/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
642,total_procedente,-,"R$ 15,000.00",6,10/02/2014,Margani de Mello,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
643,parcial_procedente,-,"R$ 10,000.00",5,10/02/2014,Margani de Mello,Titular,N,N,N,S,10,4,N,N,N,-,0,N,N,N,N,,
644,total_procedente,-,"R$ 10,000.00",5,10/02/2014,Margani de Mello,Titular,N,N,N,S,10,4,N,N,N,-,0,N,N,N,N,,
645,total_procedente,-,"R$ 5,000.00",3,21/01/2014,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
646,parcial_procedente,-,"R$ 2,000.00",1,27/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,06:00:00,2,N,N,N,N,,
647,parcial_procedente,-,"R$ 8,000.00",4,21/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,18:00:00,5,N,N,N,N,,
648,parcial_procedente,-,"R$ 8,000.00",4,22/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,14:00:00,4,N,N,N,N,,
649,parcial_procedente,-,"R$ 10,000.00",5,22/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,14:00:00,4,N,N,N,N,,
650,parcial_procedente,-,"R$ 5,000.00",3,22/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,S,N,N,-,0,N,N,N,N,,
651,improcedente,-,R$ 0.00,0,23/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
652,parcial_procedente,-,"R$ 10,000.00",5,23/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,S,,
653,parcial_procedente,-,"R$ 4,600.00",3,23/05/2019,Vânia Petermann,Titular,N,N,N,S,3,2,N,N,N,-,0,N,N,N,N,,
654,parcial_procedente,-,"R$ 4,500.00",3,23/05/2019,Vânia Petermann,Titular,N,N,N,S,3,2,N,N,N,-,0,N,N,N,N,,
655,parcial_procedente,-,"R$ 5,000.00",3,27/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,,
656,parcial_procedente,-,"R$ 7,000.00",4,28/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,15:00:00,4,N,N,N,N,,
657,parcial_procedente,-,"R$ 8,000.00",4,28/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,12:00:00,4,N,N,N,N,,
658,parcial_procedente,-,"R$ 3,500.00",2,28/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,05:00:00,2,N,N,N,N,,
659,parcial_procedente,-,"R$ 3,000.00",2,28/05/2019,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,04:13:00,2,N,N,N,N,,
