sentença,julgamento,julgamento_2,dano_moral_individual,faixa_dano_moral_individual,data_julgamento,juiz,tipo_juiz,direito_de_arrependimento,descumprimento_de_oferta,extravio_definitivo,extravio_temporário,intervalo_extravio_temporário,faixa_intervalo_extravio_temporário,violação_furto_avaria,cancelamento/alteração_destino,atraso,intervalo_atraso,faixa_intervalo_atraso,culpa_exclusiva_consumidor,condições_climáticas/fechamento_aeroporto,noshow,overbooking,assistência_cia_aérea,hipervulnerável
358,parcial_procedente,-,"R$ 1,000.00",1,15/05/2017,Vânia Petermann,Titular,N,N,N,N,-,0,S,N,N,-,0,N,N,N,N,S,N
359,parcial_procedente,-,"R$ 10,000.00",5,07/02/2017,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,N,N
360,parcial_procedente,-,R$ 0.00,0,31/01/2017,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,N,N
361,improcedente,-,R$ 0.00,0,09/02/2017,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,S,N,S,N,-,N
362,parcial_procedente,-,R$ 0.00,0,08/02/2017,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,-,N
363,parcial_procedente,-,"R$ 8,000.00",4,11/10/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,-,N
364,total_procedente,-,"R$ 5,000.00",3,14/10/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,S,N
365,total_procedente,-,"R$ 5,000.00",3,13/10/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,-,N
366,total_procedente,-,"R$ 1,500.00",1,11/10/2016,Vânia Petermann,Titular,N,N,N,S,1,1,N,N,N,-,0,N,N,N,N,-,N
367,improcedente,extinto,R$ 0.00,0,11/10/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,S,N,N,N,-,N
368,parcial_procedente,-,"R$ 3,000.00",2,11/10/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,07:00:00,2,N,N,N,N,N,N
369,parcial_procedente,-,"R$ 8,000.00",4,07/12/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,18:00:00,5,N,N,N,N,N,N
370,parcial_procedente,-,"R$ 1,000.00",1,20/09/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,02:00:00,1,N,N,N,N,N,N
371,parcial_procedente,-,"R$ 3,000.00",2,24/10/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,S,N,N,-,N
372,parcial_procedente,-,"R$ 5,000.00",3,19/09/2016,Vânia Petermann,Titular,N,N,N,S,3,2,N,N,N,-,0,N,N,N,N,-,N
373,extinto,-,R$ 0.00,0,09/12/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,N,N
374,parcial_procedente,-,"R$ 10,000.00",5,09/12/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,48:00:00,7,N,N,N,N,N,N
376,parcial_procedente,-,"R$ 5,000.00",3,24/11/2016,Vânia Petermann,Titular,N,N,N,N,-,0,S,N,N,-,0,N,N,N,N,N,N
377,parcial_procedente,-,R$ 0.00,0,19/12/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,N,N
378,total_procedente,-,"R$ 3,000.00",2,27/07/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,06:00:00,2,N,N,N,N,-,N
379,total_procedente,-,"R$ 14,000.00",6,28/07/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,42:00:00,7,N,N,N,N,-,N
380,total_procedente,-,"R$ 5,000.00",3,27/07/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,N,N
381,total_procedente,-,"R$ 3,000.00",2,27/07/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,05:00:00,2,N,N,N,N,S,N
382,total_procedente,extinto,"R$ 8,000.00",4,31/08/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,-,N
383,parcial_procedente,-,"R$ 10,000.00",5,27/07/2016,Vânia Petermann,Titular,N,N,S,N,-,0,N,N,N,-,0,N,N,N,N,-,N
384,total_procedente,-,"R$ 10,000.00",5,31/08/2016,Vânia Petermann,Titular,N,N,N,S,17,4,N,N,N,-,0,N,N,N,N,N,N
385,total_procedente,-,"R$ 10,000.00",5,27/07/2016,Bárbara Gonçalves Dalponte,Leigo,N,N,N,N,-,0,N,N,S,15:00:00,4,N,N,N,N,S,N
386,improcedente,-,R$ 0.00,0,05/09/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,S,N,N,N,N,N
387,parcial_procedente,-,"R$ 7,000.00",4,13/09/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,07:35:00,2,N,N,N,N,N,N
388,parcial_procedente,-,"R$ 3,000.00",2,14/09/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,N,N
389,improcedente,-,R$ 0.00,0,02/09/2016,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,S,N,N,-,N
